0,WNDEF ECCLESIASTICAL,*,*,Of or associated with a church(especially a Christian Church).,wndefs1.aiml
0,WNDEF MIDWEEK,*,*,The middle of a week; In the middle of the week.,wndefs1.aiml
0,WNDEF ASTUTELY,*,*,In a shrewd manner.,wndefs1.aiml
0,WNDEF STEEPLE,*,*,A tall tower that forms the superstructure of a building (usually a church or temple) and that tapers to a point at the top.,wndefs1.aiml
0,WNDEF XEROGRAPHIC PRINTER,*,*,A page printer that uses the xerographic process.,wndefs1.aiml
0,WNDEF MONOCARPIC,*,*,Dying after bearing fruit only once.,wndefs1.aiml
0,WNDEF GAME PLAN,*,*,A plan for achieving an objective in some sport; A carefully thought out strategy for achieving an objective in war or politics or business or personal affairs.,wndefs1.aiml
0,WNDEF AMBER,*,*,A deep yellow color; A medium to dark brownish yellow color; A hard yellowish to brownish translucent fossil resin; used for jewelry.,wndefs1.aiml
0,WNDEF FULICA,*,*,Coots.,wndefs1.aiml
0,WNDEF COPING SAW,*,*,A handsaw with a taut thin blade; used for cutting small curves in wood.,wndefs1.aiml
0,WNDEF BLACK-AND-TAN,*,*,Having a pattern of black and tan.,wndefs1.aiml
0,WNDEF SOLAR FLARE,*,*,A sudden eruption of intense high-energy radiation from the sun's surface; associated with sunspots and radio interference.,wndefs1.aiml
0,WNDEF HOT WAR,*,*,Actual fighting between the warring parties.,wndefs1.aiml
0,WNDEF POOL TABLE,*,*,Game equipment consisting of a heavy table on which pool is played.,wndefs1.aiml
0,WNDEF DEPERSONALIZE,*,*,Make something impersonal or present as an object.,wndefs1.aiml
0,WNDEF ANTI-INTELLECTUAL,*,*,Smug and ignorant and indifferent or hostile to artistic and cultural values.,wndefs1.aiml
0,WNDEF OPEN SECRET,*,*,Something that is supposed to be secret but is generally known.,wndefs1.aiml
0,WNDEF SUPERCHARGER,*,*,Compressor that forces increased oxygen into the cylinders of an internal-combustion engine.,wndefs1.aiml
0,WNDEF TREND-SETTER,*,*,Someone who popularizes a new fashion.,wndefs1.aiml
0,WNDEF HYPERFINE,*,*,Extremely fine or thin#Comma as in a spectral line split into two or more components.,wndefs1.aiml
0,WNDEF PUBLIC LIBRARY,*,*,A nonprofit library maintained for public use.,wndefs1.aiml
0,WNDEF TANK CIRCUIT,*,*,An oscillatory circuit.,wndefs1.aiml
0,WNDEF FAIRY SWALLOW,*,*,Fancy domestic pigeon having blue-and-white plumage and heavily muffed feet.,wndefs1.aiml
0,WNDEF SLATE PENCIL,*,*,A pencil of soft slate (or soapstone) used for writing on a slate.,wndefs1.aiml
0,WNDEF COMPARATIVE ANATOMY,*,*,The study of anatomical features of animals of different species.,wndefs1.aiml
0,WNDEF COMMON CORN SALAD,*,*,Widely cultivated as a salad crop and pot herb; often a weed.,wndefs1.aiml
0,WNDEF VERTICAL CIRCLE,*,*,a.,wndefs1.aiml
0,WNDEF PREFIGURATION,*,*,The act of providing vague advance indications; representing beforehand; An example that prefigures or foreshadows what is to come.,wndefs1.aiml
0,WNDEF TOURING CAR,*,*,Large open car seating four with folding top.,wndefs1.aiml
0,WNDEF ORYCTEROPUS,*,*,Coextensive with the family Orycteropodidae.,wndefs1.aiml
0,WNDEF BARBAROUSLY,*,*,In a barbarous manner.,wndefs1.aiml
0,WNDEF MIAMI,*,*,A city and resort in southeastern Florida on Biscayne Bay; the best known city in Florida; a haven for retirees and a refuge for Cubans fleeing Castro; A member of the extinct Algonquian people formerly living in northern Indiana and southern Michigan.,wndefs1.aiml
